"id","download_timestamp","api_timestamp","gtfs_version","incrementality","alert_id","effect","active_start","active_end","status","header_cat","header_es","header_en","description_cat","description_es","description_en","url_cat","url_es","url_en","created_at","updated_at"
581,2025-10-15 09:08:03.039 +0200,2025-10-15 11:07:08.000 +0200,"2.0",FULL_DATASET,"206498",SIGNIFICANT_DELAYS,2025-09-29 13:55:00.000 +0200,,ACTIVE_OLD,"Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","","","",2025-10-15 09:08:03.039 +0200,2025-10-15 09:19:02.992 +0200
611,2025-10-15 09:08:03.279 +0200,2025-10-15 11:07:08.000 +0200,"2.0",FULL_DATASET,"206460",SIGNIFICANT_DELAYS,2025-09-29 13:55:00.000 +0200,,ACTIVE_OLD,"Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","","","",2025-10-15 09:08:03.279 +0200,2025-10-15 09:19:03.245 +0200
636,2025-10-15 09:08:03.481 +0200,2025-10-15 11:07:08.000 +0200,"2.0",FULL_DATASET,"206343",NO_SERVICE,2025-09-29 13:55:00.000 +0200,,ACTIVE_OLD,"Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","","","",2025-10-15 09:08:03.481 +0200,2025-10-15 09:19:03.485 +0200
641,2025-10-15 09:08:03.525 +0200,2025-10-15 11:07:08.000 +0200,"2.0",FULL_DATASET,"206444",SIGNIFICANT_DELAYS,2025-09-29 13:55:00.000 +0200,,ACTIVE_OLD,"Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","","","",2025-10-15 09:08:03.525 +0200,2025-10-15 09:19:03.534 +0200
651,2025-10-15 09:08:03.607 +0200,2025-10-15 11:07:08.000 +0200,"2.0",FULL_DATASET,"206494",SIGNIFICANT_DELAYS,2025-09-29 13:55:00.000 +0200,,ACTIVE_OLD,"Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","","","",2025-10-15 09:08:03.607 +0200,2025-10-15 09:19:03.609 +0200
656,2025-10-15 09:08:03.647 +0200,2025-10-15 11:07:08.000 +0200,"2.0",FULL_DATASET,"206340",NO_SERVICE,2025-09-29 13:55:00.000 +0200,,ACTIVE_OLD,"Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","Per causes externes, sense servei entre les parades Francesc Macià i Maria Cristina. Disculpeu les molèsties. Serveis alternatius de transport: http://bit.ly/FMaciaMCristina","","","",2025-10-15 09:08:03.647 +0200,2025-10-15 09:19:03.658 +0200
660,2025-10-15 09:08:03.678 +0200,2025-10-15 11:07:08.000 +0200,"2.0",FULL_DATASET,"206362",SIGNIFICANT_DELAYS,2025-09-29 13:55:00.000 +0200,,ACTIVE_OLD,"Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes externes, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","","","",2025-10-15 09:08:03.678 +0200,2025-10-15 09:19:03.692 +0200
670,2025-10-15 09:08:03.762 +0200,2025-10-15 11:07:08.000 +0200,"2.0",FULL_DATASET,"209824",SIGNIFICANT_DELAYS,2025-10-02 23:37:00.000 +0200,,ACTIVE_OLD,"Per manifestació, freqüències de pas alterades a les línies T1 i T2. Disculpeu les molèsties","Per manifestació, freqüències de pas alterades a les línies T1 i T2. Disculpeu les molèsties","Per manifestació, freqüències de pas alterades a les línies T1 i T2. Disculpeu les molèsties","Per manifestació, freqüències de pas alterades a les línies T1 i T2. Disculpeu les molèsties","Per manifestació, freqüències de pas alterades a les línies T1 i T2. Disculpeu les molèsties","Per manifestació, freqüències de pas alterades a les línies T1 i T2. Disculpeu les molèsties","","","",2025-10-15 09:08:03.762 +0200,2025-10-15 09:19:03.786 +0200
680,2025-10-15 09:08:03.863 +0200,2025-10-15 11:07:08.000 +0200,"2.0",FULL_DATASET,"209968",REDUCED_SERVICE,2025-10-13 10:45:00.000 +0200,,ACTIVE,"Per causes operacionals, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes operacionals, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes operacionals, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes operacionals, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes operacionals, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","Per causes operacionals, freqüències de pas alterades les línies T1, T2 i T3. Disculpeu les molèsties","","","",2025-10-15 09:08:03.863 +0200,2025-10-15 09:19:03.866 +0200
688,2025-10-15 09:08:03.982 +0200,2025-10-15 11:07:08.000 +0200,"2.0",FULL_DATASET,"193615",DETOUR,2025-09-15 04:05:00.000 +0200,2030-09-16 03:59:00.000 +0200,ACTIVE,Desviament provisional a la Via de l'Abadia de Poblet afectant parades,Desvío provisional en la Vía de l'Abadía de Poblet afectando paradas,Desviament provisional a la Via de l'Abadia de Poblet afectant parades,"A partir de dilluns 15 de setembre de 2025 i fins a nou avís, es modifica el recorregut habitual a la Via de l'Abadia de Poblet de Pallejà amb l’anul·lació provisional de les parades afectades. Les línies seran desviades tal com es mostra en el plànol següent: ","A partir del lunes 15 de septiembre de 2025 y hasta nuevo aviso, se modifica el recorrido habitual en la Vía de l'Abadía de Poblet de Pallejà con la anulación provisional de las paradas afectadas. Las líneas serán desviadas tal como se indica en el plano siguiente: ","A partir de dilluns 15 de setembre de 2025 i fins a nou avís, es modifica el recorregut habitual a la Via de l'Abadia de Poblet de Pallejà amb l’anul·lació provisional de les parades afectades. Les línies seran desviades tal com es mostra en el plànol següent: ","",http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=25824&idioma=1,http://www.ambmobilitat.cat/Principales/Noticia.aspx?incidencia=25824&idioma=1,2025-10-15 09:08:03.982 +0200,2025-10-15 09:19:03.949 +0200
