"lst","num","stop_id","dia"
Soler i Sauret,1,AMB_200029,2025-10-13
Soler i Sauret,1,AMB_200029,2025-10-14
Soler i Sauret,1,AMB_200031,2025-10-13
Soler i Sauret,1,AMB_200031,2025-10-14
Soler i Sauret,1,AMB_200032,2025-10-13
Soler i Sauret,1,AMB_200032,2025-10-14
Soler i Sauret,1,AMB_200086,2025-10-13
Soler i Sauret,1,AMB_200086,2025-10-14
Soler i Sauret,1,AMB_200211,2025-10-13
Soler i Sauret,1,AMB_200211,2025-10-14
Soler i Sauret,1,AMB_200212,2025-10-13
Soler i Sauret,1,AMB_200212,2025-10-14
