"id","alert_table_id","alert_id","stop_id","status","created_at"
540,772,"209980",AMB_200030,ACTIVE,2025-10-18 09:08:05.834 +0200
541,772,"209980",AMB_200250,ACTIVE,2025-10-18 09:08:05.838 +0200
542,774,"209977",AMB_001069,ACTIVE_OLD,2025-10-15 09:08:06.388 +0200
502,759,"209972",AMB_100524,ACTIVE_OLD,2025-10-15 09:08:05.557 +0200
